,id,date,confirmed,location_id
451,1100,2020-05-20,2400,14
452,1101,2020-05-21,2453,14
453,1102,2020-05-20,1650,15
454,1103,2020-05-21,1693,15
455,1104,2020-05-20,93,16
456,1105,2020-05-21,121,16
457,1106,2020-05-20,93,17
458,1107,2020-05-21,95,17
459,1108,2020-05-20,38,18
460,1109,2020-05-21,37,18
461,1110,2020-05-20,72,19
462,1111,2020-05-21,77,19
463,1112,2020-05-20,11262,20
464,1113,2020-05-21,12153,20
465,1114,2020-05-22,2459,12
466,1115,2020-05-22,185,13
467,1116,2020-05-22,2521,14
468,1117,2020-05-22,1735,15
469,1118,2020-05-22,120,16
470,1119,2020-05-22,98,17
471,1120,2020-05-22,39,18
472,1121,2020-05-22,80,19
473,1122,2020-05-22,12888,20
474,1123,2020-05-23,2569,12
475,1124,2020-05-23,196,13
476,1125,2020-05-23,2633,14
477,1126,2020-05-23,1777,15
478,1127,2020-05-23,124,16
479,1128,2020-05-23,97,17
480,1129,2020-05-23,40,18
481,1130,2020-05-23,81,19
482,1131,2020-05-23,13826,20
483,1132,2020-05-24,2690,12
484,1133,2020-05-24,202,13
485,1134,2020-05-24,2773,14
486,1135,2020-05-24,1815,15
487,1136,2020-05-24,128,16
488,1137,2020-05-24,101,17
489,1138,2020-05-24,40,18
490,1139,2020-05-24,94,19
491,1140,2020-05-24,14740,20
492,1141,2020-05-25,2748,12
493,1142,2020-05-25,208,13
494,1143,2020-05-25,2993,14
495,1144,2020-05-25,1882,15
496,1145,2020-05-25,132,16
497,1146,2020-05-25,103,17
498,1147,2020-05-25,45,18
499,1148,2020-05-25,109,19
500,1149,2020-05-25,15396,20
501,1150,2020-05-26,2864,12
502,1151,2020-05-26,206,13
503,1152,2020-05-26,3043,14
504,1153,2020-05-26,1927,15
505,1154,2020-05-26,132,16
506,1155,2020-05-26,103,17
507,1156,2020-05-26,45,18
508,1157,2020-05-26,115,19
509,1158,2020-05-26,15829,20
510,1159,2020-05-27,3047,12
511,1160,2020-05-28,3306,12
512,1161,2020-05-29,3583,12
513,1162,2020-05-27,221,13
514,1163,2020-05-28,225,13
515,1164,2020-05-29,231,13
516,1165,2020-05-27,3167,14
517,1166,2020-05-28,3329,14
518,1167,2020-05-29,3583,14
519,1168,2020-05-27,2186,15
520,1169,2020-05-28,2349,15
521,1170,2020-05-29,2428,15
522,1171,2020-05-27,141,16
523,1172,2020-05-28,144,16
524,1173,2020-05-29,170,16
525,1174,2020-05-27,106,17
526,1175,2020-05-28,111,17
527,1176,2020-05-29,112,17
528,1177,2020-05-27,48,18
529,1178,2020-05-28,51,18
530,1179,2020-05-29,52,18
531,1180,2020-05-27,128,19
532,1181,2020-05-28,134,19
533,1182,2020-05-29,143,19
534,1183,2020-05-27,16893,20
535,1184,2020-05-28,17754,20
536,1185,2020-05-29,18906,20
537,1186,2020-05-30,3759,12
538,1187,2020-05-31,3927,12
539,1188,2020-06-01,4111,12
540,1189,2020-06-02,4324,12
541,1190,2020-06-03,4526,12
542,1191,2020-06-04,4936,12
543,1192,2020-06-05,5240,12
544,1193,2020-05-30,261,13
545,1194,2020-05-31,278,13
546,1195,2020-06-01,285,13
547,1196,2020-06-02,299,13
548,1197,2020-06-03,319,13
549,1198,2020-06-04,322,13
550,1199,2020-06-05,336,13
551,1200,2020-05-30,3773,14
552,1201,2020-05-31,4003,14
553,1202,2020-06-01,4231,14
554,1203,2020-06-02,4276,14
555,1204,2020-06-03,4567,14
556,1205,2020-06-04,4845,14
557,1206,2020-06-05,5215,14
558,1207,2020-05-30,2476,15
559,1208,2020-05-31,2545,15
560,1209,2020-06-01,2565,15
561,1210,2020-06-02,2637,15
562,1211,2020-06-03,2707,15
563,1212,2020-06-04,2869,15
564,1213,2020-06-05,2936,15
565,1214,2020-05-30,173,16
566,1215,2020-05-31,177,16
567,1216,2020-06-01,192,16
568,1217,2020-06-02,193,16
569,1218,2020-06-03,200,16
570,1219,2020-06-04,206,16
571,1220,2020-06-05,215,16
572,1221,2020-05-30,113,17
573,1222,2020-05-31,121,17
574,1223,2020-06-01,131,17
575,1224,2020-06-02,132,17
576,1225,2020-06-03,137,17
577,1226,2020-06-04,144,17
578,1227,2020-06-05,169,17
579,1228,2020-05-30,57,18
580,1229,2020-05-31,69,18
581,1230,2020-06-01,82,18
582,1231,2020-06-02,91,18
583,1232,2020-06-03,93,18
584,1233,2020-06-04,95,18
585,1234,2020-06-05,102,18
586,1235,2020-05-30,162,19
587,1236,2020-05-31,175,19
588,1237,2020-06-01,187,19
589,1238,2020-06-02,271,19
590,1239,2020-06-03,314,19
591,1240,2020-06-04,364,19
592,1241,2020-06-05,409,19
593,1242,2020-05-30,20160,20
594,1243,2020-05-31,21382,20
595,1244,2020-06-01,22567,20
596,1245,2020-06-02,23583,20
597,1246,2020-06-03,24657,20
598,1247,2020-06-04,27006,20
599,1248,2020-06-05,28807,20
600,1249,2020-06-06,5629,12
601,1250,2020-06-07,5974,12
602,1251,2020-06-06,348,13
603,1252,2020-06-07,361,13
604,1253,2020-06-06,5626,14
605,1254,2020-06-07,5946,14
606,1255,2020-06-06,3016,15
607,1256,2020-06-07,3108,15
608,1257,2020-06-06,216,16
609,1258,2020-06-07,227,16
610,1259,2020-06-06,181,17
611,1260,2020-06-07,189,17
612,1261,2020-06-06,105,18
613,1262,2020-06-07,114,18
614,1263,2020-06-06,468,19
615,1264,2020-06-07,523,19
616,1265,2020-06-06,30379,20
617,1266,2020-06-07,31824,20
618,1267,2020-06-08,6341,12
619,1268,2020-06-08,373,13
620,1269,2020-06-08,6258,14
621,1270,2020-06-08,3175,15
622,1271,2020-06-08,244,16
623,1272,2020-06-08,183,17
624,1273,2020-06-08,118,18
625,1274,2020-06-08,580,19
626,1275,2020-06-08,33568,20
627,1276,2020-06-09,6760,12
628,1277,2020-06-10,7154,12
629,1278,2020-06-09,391,13
630,1279,2020-06-10,401,13
631,1280,2020-06-09,6546,14
632,1281,2020-06-10,7195,14
633,1282,2020-06-09,3255,15
634,1283,2020-06-10,3347,15
635,1284,2020-06-09,253,16
636,1285,2020-06-10,257,16
637,1286,2020-06-09,184,17
638,1287,2020-06-10,207,17
639,1288,2020-06-09,122,18
640,1289,2020-06-10,125,18
641,1290,2020-06-09,604,19
642,1291,2020-06-10,657,19
643,1292,2020-06-09,34819,20
644,1293,2020-06-10,36021,20
645,1294,2020-06-11,7868,12
646,1295,2020-06-12,8615,12
647,1296,2020-06-13,9250,12
648,1297,2020-06-14,10027,12
649,1298,2020-06-11,406,13
650,1299,2020-06-12,435,13
651,1300,2020-06-13,457,13
652,1301,2020-06-14,495,13
653,1302,2020-06-11,7953,14
654,1303,2020-06-12,8781,14
655,1304,2020-06-13,9897,14
656,1305,2020-06-14,11164,14
657,1306,2020-06-11,3472,15
658,1307,2020-06-12,3573,15
659,1308,2020-06-13,3763,15
660,1309,2020-06-14,3874,15
661,1310,2020-06-11,267,16
662,1311,2020-06-12,288,16
663,1312,2020-06-13,309,16
664,1313,2020-06-14,326,16
665,1314,2020-06-11,228,17
666,1315,2020-06-12,243,17
667,1316,2020-06-13,271,17
668,1317,2020-06-14,297,17
669,1318,2020-06-11,132,18
670,1319,2020-06-12,138,18
671,1320,2020-06-13,144,18
672,1321,2020-06-14,156,18
673,1322,2020-06-11,757,19
674,1323,2020-06-12,865,19
675,1324,2020-06-13,977,19
676,1325,2020-06-14,1097,19
677,1326,2020-06-11,37422,20
678,1327,2020-06-12,38926,20
679,1328,2020-06-13,40605,20
680,1329,2020-06-14,42539,20
681,1330,2020-06-15,10597,12
682,1331,2020-06-16,11039,12
683,1332,2020-06-17,11919,12
684,1333,2020-06-15,512,13
685,1334,2020-06-16,578,13
686,1335,2020-06-17,608,13
687,751,2020-04-02,13,17
688,752,2020-04-03,13,17
689,753,2020-04-04,18,17
690,754,2020-04-05,18,17
691,755,2020-04-06,18,17
692,756,2020-04-07,0,17
693,757,2020-04-08,21,17
694,758,2020-04-09,20,17
695,759,2020-04-10,20,17
696,760,2020-04-11,20,17
697,761,2020-04-12,21,17
698,762,2020-04-13,22,17
699,763,2020-04-14,22,17
700,764,2020-04-15,22,17
701,765,2020-04-16,22,17
702,766,2020-04-17,23,17
703,767,2020-04-18,25,17
704,768,2020-04-19,23,17
705,769,2020-04-20,23,17
706,770,2020-04-21,24,17
707,771,2020-04-22,23,17
708,772,2020-04-23,23,17
709,773,2020-04-24,24,17
710,774,2020-04-25,23,17
711,775,2020-04-26,23,17
712,776,2020-04-27,26,17
713,777,2020-04-28,26,17
714,778,2020-04-29,31,17
715,779,2020-04-30,36,17
716,780,2020-05-01,35,17
717,781,2020-05-02,40,17
718,782,2020-05-03,46,17
719,783,2020-05-04,53,17
720,784,2020-03-05,0,18
721,785,2020-03-07,0,18
722,786,2020-03-08,0,18
723,787,2020-03-09,0,18
724,788,2020-03-11,0,18
725,789,2020-03-12,0,18
726,790,2020-03-13,0,18
727,791,2020-03-14,0,18
728,792,2020-03-15,0,18
729,793,2020-03-16,0,18
730,794,2020-03-17,0,18
731,795,2020-03-18,0,18
732,796,2020-03-19,0,18
733,797,2020-03-20,0,18
734,798,2020-03-21,0,18
735,799,2020-03-22,0,18
736,800,2020-03-23,2,18
737,801,2020-03-24,2,18
738,802,2020-03-25,2,18
739,803,2020-03-26,2,18
740,804,2020-03-27,0,18
741,805,2020-03-28,5,18
742,806,2020-03-29,6,18
743,807,2020-03-30,3,18
744,808,2020-03-31,6,18
745,809,2020-04-01,7,18
746,810,2020-04-02,7,18
747,811,2020-04-03,7,18
748,812,2020-04-04,7,18
749,813,2020-04-05,8,18
750,814,2020-04-06,8,18
751,815,2020-04-07,0,18
752,816,2020-04-08,13,18
753,817,2020-04-09,15,18
754,818,2020-04-10,15,18
755,819,2020-04-11,16,18
756,820,2020-04-12,16,18
757,821,2020-04-13,16,18
758,822,2020-04-14,16,18
759,823,2020-04-15,16,18
760,824,2020-04-16,16,18
761,825,2020-04-17,16,18
762,826,2020-04-18,16,18
763,827,2020-04-19,16,18
764,828,2020-04-20,18,18
765,829,2020-04-21,16,18
766,830,2020-04-22,16,18
767,831,2020-04-23,16,18
768,832,2020-04-24,16,18
769,833,2020-04-25,16,18
770,834,2020-04-26,17,18
771,835,2020-04-27,17,18
772,836,2020-04-28,17,18
773,837,2020-04-29,17,18
774,838,2020-04-30,17,18
775,839,2020-05-01,18,18
776,840,2020-05-02,23,18
777,841,2020-05-03,24,18
778,842,2020-05-04,25,18
779,843,2020-03-05,0,19
780,844,2020-03-07,0,19
781,845,2020-03-08,0,19
